TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
CEPE3;127,13;1,59;45,33;5,62;0,99;16,65;8,14;3,37;18,78;26,03;8,85;2,65;1,53;78,39;-1,45;1,04;12,39;2,19;6,03;0,18;0,82;0,65;9,02;6,60;92.909,67;22,64;2,80
CEPE5;30,00;6,73;10,70;1,33;0,23;16,65;8,14;3,37;4,43;26,03;8,85;2,65;0,36;18,50;-0,34;1,04;12,39;2,19;6,03;0,18;0,82;0,65;9,02;6,60;117.239,52;22,64;2,80
CEPE6;32,50;6,83;11,59;1,44;0,25;16,65;8,14;3,37;4,80;26,03;8,85;2,65;0,39;20,04;-0,37;1,04;12,39;2,19;6,03;0,18;0,82;0,65;9,02;6,60;42.584,08;22,64;2,80
CESP3;27,27;8,35;6,09;1,25;0,70;40,93;56,72;79,28;8,51;9,78;0,86;0,13;4,83;17,55;-0,78;1,69;20,57;11,49;1,55;0,56;0,44;0,14;-20,20;15,73;221.720,53;21,77;4,48
CESP5;36,00;10,21;8,04;1,65;0,92;40,93;56,72;79,28;11,24;9,78;0,86;0,13;6,38;23,16;-1,02;1,69;20,57;11,49;1,55;0,56;0,44;0,14;-20,20;15,73;86.498,72;21,77;4,48
CESP6;29,25;7,78;6,53;1,34;0,75;40,93;56,72;79,28;9,13;9,78;0,86;0,13;5,18;18,82;-0,83;1,69;20,57;11,49;1,55;0,56;0,44;0,14;-20,20;15,73;52.458.826,50;21,77;4,48
CGAS3;170,00;4,94;18,82;18,58;1,94;34,16;23,24;14,13;11,45;13,86;2,42;3,92;2,66;14,94;-3,62;1,39;98,74;10,33;16,55;0,10;0,90;0,73;8,30;17,45;162.358,68;9,15;9,03
CGAS5;163,50;5,64;18,10;17,87;1,87;34,16;23,24;14,13;11,01;13,86;2,42;3,92;2,56;14,37;-3,48;1,39;98,74;10,33;16,55;0,10;0,90;0,73;8,30;17,45;1.233.455,03;9,15;9,03
CGRA3;37,15;4,63;5,49;1,20;0,91;53,96;24,81;31,06;6,88;5,70;-0,94;-0,16;1,71;3,57;-1,51;2,82;21,75;16,61;13,56;0,76;0,24;0,53;3,42;16,83;108.377,59;31,09;6,76
CGRA4;35,05;4,91;5,18;1,13;0,86;53,96;24,81;31,06;6,49;5,70;-0,94;-0,16;1,61;3,37;-1,42;2,82;21,75;16,61;13,56;0,76;0,24;0,53;3,42;16,83;568.560,53;31,09;6,76
