TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
KNSC11;103,01;8,26;1,09;2.773.440,65;7,52;;;609.038.202,35;28.151,00;Ativa;
LGCP11;92,97;6,67;0,94;363.633,55;0,59;;;270.064.177,99;10.092,00;Ativa;
LOFT11B;29,90;8,76;0,41;2.138,00;24,76;;;208.737.264,72;116,00;Ativa;
LVBI11;105,00;6,00;0,92;2.374.775,20;16,17;;;1.350.866.844,96;35.797,00;Ativa;
MALL11;99,00;5,94;0,95;1.243.454,95;1,22;-7,71;-0,30;791.839.514,98;86.382,00;Ativa;
MAXR11;85,00;9,09;0,72;134.914,10;1,51;-6,73;-5,77;132.496.118,28;3.147,00;Ativa;
MFAI11;90,02;13,46;0,97;80.506,30;0,00;;;28.247.890,80;3.774,00;Ativa;
MFII11;117,99;10,31;1,00;808.886,75;31,44;-4,06;;471.039.211,80;29.533,00;Ativa;
MGFF11;75,80;8,98;0,91;1.487.662,70;9,17;-5,87;-7,25;749.842.707,48;50.761,00;Ativa;
MGHT11;96,16;7,58;0,97;21.114,90;7,38;;;103.608.255,03;375,00;Ativa;
NEWL11;106,60;9,78;1,00;134.330,90;11,11;;;216.809.218,22;1.587,00;Ativa;
NEWU11;35,28;0,31;0,56;4.687,63;2,03;58,77;;46.662.523,65;1.785,00;Ativa;
NSLU11;248,75;8,72;1,16;239.704,30;2,04;4,17;4,94;244.478.758,64;7.617,00;Passiva;
SPVJ11;0,00;0,00;;;6,89;;;530.245.018,49;25,00;Ativa;
ONEF11;143,03;5,41;0,89;43.205,80;1,06;-2,84;3,57;146.317.021,91;4.162,00;Passiva;
OUFF11;80,77;8,80;0,95;195.459,70;2,90;;;154.190.063,70;8.763,00;Ativa;
OUJP11;97,03;8,47;0,94;791.082,65;17,01;-7,74;-0,77;335.816.504,46;21.214,00;Ativa;
OULG11;66,81;9,91;0,72;176.842,80;5,67;;;230.732.500,99;6.940,00;Ativa;
OURE11;89,28;9,63;0,91;100.996,50;11,38;8,56;-3,39;81.665.559,54;3.739,00;Ativa;
PABY11;12,58;0,00;;768,82;;;-20,40;-6.281.734,30;447,00;Passiva;
PATL11;81,85;7,48;0,86;1.041.567,05;2,35;;;477.672.328,39;12.060,00;Ativa;
PLCR11;94,80;9,15;0,98;696.814,55;10,31;;;203.692.027,38;7.201,00;Ativa;
PRSV11;138,37;2,56;0,58;14.021,39;6,23;28,92;-25,15;46.455.023,76;1.221,00;Passiva;
PRTS11;117,70;0,00;1.471,25;;21,71;;;4.554.389,51;10,00;Ativa;
PVBI11;96,20;5,77;0,96;2.534.140,75;6,52;;;972.853.193,39;34.781,00;Ativa;
QIFF11;99,53;7,24;1,07;2.335,27;23,25;;;14.008.814,72;152,00;Passiva;
RBBV11;100,00;35,34;0,99;239.178,74;1,01;75,40;16,31;126.470.249,69;3.475,00;Passiva;
RBED11;145,23;8,41;0,97;184.143,95;5,04;-5,06;-0,69;303.858.209,87;12.007,00;Ativa;
RBFF11;64,49;9,38;0,93;545.165,60;0,21;4,44;;260.724.399,45;20.766,00;Ativa;
RBLG11;100,99;2,09;0,90;45.464,00;2,09;;;71.867.318,88;69,00;Ativa;
RBRD11;56,52;6,72;0,79;92.753,80;3,85;-31,05;-12,80;132.625.901,91;11.898,00;Passiva;
RBRF11;81,85;9,45;0,93;2.677.582,80;10,00;-3,76;-6,68;1.204.492.628,06;74.327,00;Ativa;
RBRL11;105,40;7,82;0,98;699.504,20;10,69;;;720.207.810,79;5.979,00;Ativa;
RBRM11;94.794,81;84,82;0,69;;13,43;;;74.559.218,45;54,00;Ativa;
RBRP11;81,60;7,18;0,95;1.825.418,65;25,24;-3,14;;1.042.431.997,69;89.046,00;Ativa;
RBRS11;73,00;4,44;0,76;43.529,40;16,99;;;100.766.448,42;1.176,00;Ativa;
RBRY11;101,90;8,68;0,99;477.227,60;14,38;;;349.727.538,67;9.991,00;Ativa;
RDPD11;70,00;7,47;0,98;259.403,26;2,08;1,15;-9,84;76.735.767,54;780,00;Ativa;
RECR11;106,60;13,25;1,11;7.627.873,85;19,16;5,18;2,32;1.855.452.501,80;91.384,00;Ativa;
REIT11;900,00;8,52;0,71;2.700,00;36,73;;;33.437.373,48;60,00;Ativa;
RELG11;88,92;6,01;0,92;242.144,60;31,12;;;128.733.540,44;3.724,00;Ativa;
RFOF11;82,50;8,87;0,93;233.859,75;1,85;;;96.126.586,08;4.102,00;Ativa;
RMAI11;38,09;0,00;0,35;6.797,21;0,03;;;269.460.438,30;1.158,00;Passiva;
RNDP11;709,41;6,50;0,93;312.962,40;6,49;-9,14;-8,99;82.314.886,55;865,00;Ativa;
RRCI11;85,36;6,06;0,89;149.365,20;0,22;;;46.285.089,70;1.928,00;Ativa;
SARE11;93,11;5,85;0,93;728.108,75;45,02;;;535.790.101,03;7.592,00;Ativa;
SPAF11;0,00;0,00;;;4,89;;;11.316.795,08;1,00;Ativa;
TRNT11;128,00;4,45;0,62;19.650,05;0,48;-8,92;-11,07;814.396.085,09;758,00;Passiva;
URPR11;125,80;19,97;1,27;4.981.271,30;7,75;;;164.441.546,42;10.843,00;Ativa;
VCJR11;97,78;9,77;0,98;931.091,00;20,97;;;1.152.165.501,35;6.754,00;Ativa;
ABCP11;74,50;5,10;0,84;130.608,05;1,37;-7,10;-1,27;1.080.029.904,46;19.167,00;Passiva;
VCRR11;100,00;1,34;1,02;36.297,06;14,30;;;195.770.763,20;1.858,00;Ativa;
VERE11;233,49;9,78;0,74;;7,74;7,38;;172.703.163,23;54,00;Ativa;
VGHF11;10,02;4,99;1,04;770.026,55;1,00;;;159.232.391,41;7.845,00;Ativa;
VGIP11;102,70;11,85;1,08;1.941.325,45;3,78;;;632.696.404,43;34.858,00;Ativa;
VLOL11;102,02;5,14;1,05;92.666,85;1,09;1,68;5,86;173.179.144,49;4.662,00;Passiva;
VTLT11;107,25;8,29;1,05;397.608,50;1,25;-2,40;2,28;216.198.975,83;5.533,00;Ativa;
VTVI11;0,00;0,00;;;11,21;;;68.349.478,94;1,00;Ativa;
VTXI11;0,00;0,00;;;22,53;;;3.411.510,35;2,00;Ativa;
XPHT12;59,00;0,00;0,68;39.394,94;0,67;;;330.939.050,81;1.588,00;Ativa;
XPIN11;100,11;7,47;0,90;1.371.120,05;4,94;-2,62;;730.767.593,24;52.090,00;Ativa;
AFCR11;107,95;12,66;1,05;275.359,20;9,69;;;121.528.154,28;1.874,00;Ativa;
AFHI11;93,58;2,14;0,97;687.916,60;5,43;;;172.958.956,83;3.644,00;Ativa;
ATCR11;0,00;0,00;;;0,78;;;72.860.726,40;33,00;Ativa;
ATSA11;101,97;0,00;1,04;8.128,56;1,20;;;172.150.140,21;253,00;Passiva;
BBIM11;0,00;0,00;;;9,82;-13,85;;64.624.632,86;20,00;Ativa;
ATWN11;0,00;0,00;;;0,64;;;93.106.600,74;2,00;Passiva;
CBOP11;72,99;8,62;0,81;48.585,25;1,08;3,10;2,39;128.289.370,64;4.146,00;Passiva;
CEOC11;69,17;7,90;0,80;54.701,65;2,05;-6,05;-4,73;156.996.079,15;6.798,00;Passiva;
CJFI11;0,00;0,00;;;0,42;;;98.041.206,03;1,00;Ativa;
ALMI11;1.155,00;0,00;0,56;68.769,55;1,97;;-6,12;229.163.662,27;3.379,00;Passiva;
BARI11;107,50;13,97;1,06;1.657.361,00;10,41;;;471.004.814,65;27.350,00;Ativa;
BCFF11;79,59;7,59;0,97;3.495.672,55;12,53;-1,91;0,83;2.056.916.721,02;283.571,00;Ativa;
BCIA11;93,91;8,25;0,88;646.037,00;0,31;-5,39;-5,70;398.917.797,85;13.902,00;Ativa;
BCRI11;115,57;11,52;1,10;1.977.884,65;11,17;4,72;3,45;464.020.207,02;42.512,00;Ativa;
BLCP11;97,99;6,59;0,96;534.740,53;3,59;;;196.742.723,49;184,00;Ativa;
BLMC11;102,25;2,47;1,01;4.840,00;7,34;;;40.287.207,57;28,00;Ativa;
BMII11;0,00;0,00;;;0,11;;;68.958.972,13;12,00;Ativa;
