TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AGBAU;12,31;;-109,16;13,14;1,52;;;;-109,16;-99,37;-3,43;0,41;;-22,29;-1,54;0,15;-12,04;-1,39;-7,95;0,12;0,11;0,00;;;;0,94;-0,11;;57.758.242,00
AGBAW;0,20;;-1,77;0,21;0,02;;;;-1,77;-99,37;-3,43;0,41;;-0,36;-0,03;0,15;-12,04;-1,39;-7,95;0,12;0,11;0,00;;;;0,94;-0,11;;57.758.242,00
AGCO;128,01;3,69;13,29;3,08;1,09;23,27;8,22;6,94;11,21;12,46;1,25;0,34;0,92;8,70;-2,33;1,31;23,14;8,19;14,48;0,35;0,65;1,18;4,15;9,90;;41,63;9,63;;9.650.136.258,00
AGEN;6,50;;-6,71;-6,13;7,88;94,91;-237,49;-329,31;-9,31;-8,98;0,33;;22,11;-19,96;-15,24;0,55;-91,34;-117,38;71,61;-1,29;2,19;0,36;28,86;;;-1,06;-0,97;;1.515.244.900,00
AGFS;2,00;;-2,16;0,42;0,14;73,03;9,87;-29,21;6,38;18,72;12,34;0,82;0,63;1,13;-0,17;3,18;-19,65;-6,54;-4,01;0,33;0,46;0,22;-0,76;;;4,72;-0,93;;104.290.200,00
AGI;7,44;1,14;124,40;1,08;0,83;61,15;34,74;2,71;9,70;8,85;-0,85;-0,09;3,37;8,49;-0,97;3,30;0,87;0,67;9,25;0,77;0,23;0,25;16,07;;;6,90;0,06;;2.923.504.848,00
AGIO;45,18;;1,67;1,55;1,42;97,97;-450,18;2.020,89;-7,51;-2,80;4,72;-0,97;33,82;1,62;-15,48;28,07;92,43;84,90;-20,58;0,92;0,08;0,04;28,01;;;29,21;27,00;;2.663.428.770,00
AGLE;6,81;;-5,08;2,81;2,27;100,00;-479,72;-480,40;-5,09;-3,13;1,96;-1,08;24,40;2,94;-26,49;6,52;-55,28;-44,76;-55,28;0,81;0,19;0,09;;;;2,43;-1,34;;334.129.926,00
AGM;98,62;3,41;10,46;0,90;0,04;0,00;84,58;22,07;2,73;-26,12;-28,85;-9,51;2,31;;-0,04;;8,60;0,42;29,55;0,05;0,95;0,02;12,76;18,06;;109,63;9,43;;1.061.713.334,00
AGO;46,78;1,84;9,96;0,53;0,20;84,31;46,96;33,63;7,13;8,15;1,02;0,08;3,35;;-0,20;;5,27;1,99;5,36;0,38;0,62;0,06;-12,76;-19,27;;89,07;4,70;;3.415.225.358,00
AGR;52,25;3,37;29,53;1,05;0,52;100,00;14,95;10,41;20,56;26,79;6,23;0,32;3,07;28,41;-0,58;1,24;3,56;1,77;3,44;0,50;0,50;0,17;7,67;16,31;;49,69;1,77;;20.231.440.350,00
AGRO;9,22;;14,53;1,12;0,44;47,65;27,90;8,82;4,60;7,07;2,47;0,60;1,28;2,70;-0,62;2,22;7,70;3,01;10,85;0,39;0,61;0,34;3,93;;;8,24;0,63;;1.072.333.944,00
AGRX;1,17;;-1,60;4,42;2,08;-26,24;-3.130,98;-3.312,63;-1,70;-1,46;0,23;-0,61;53,08;4,30;-7,10;3,18;-275,95;-129,90;-157,92;0,47;0,53;0,04;;;;0,26;-0,73;;108.810.000,00
AGS;7,35;;-6,74;5,83;0,37;76,35;1,51;-18,33;81,96;239,80;157,84;11,23;1,24;2,11;-0,48;3,69;-86,47;-5,43;0,21;0,06;0,94;0,30;6,26;;;1,26;-1,09;;269.568.600,00
AGTC;3,34;;-2,37;1,47;1,10;;;;-2,42;-0,71;1,71;-1,04;;1,48;-8,58;6,83;-62,06;-46,42;-55,25;0,75;0,25;0,00;0,83;;;2,27;-1,41;;142.801.032,00
AGX;44,88;4,46;16,60;2,09;1,09;18,61;10,86;8,46;12,93;3,95;-8,98;-1,45;1,40;2,44;-13,03;1,94;12,59;6,54;12,59;0,52;0,48;0,77;-1,04;-8,08;;21,48;2,70;;707.730.672,00
AGYS;51,00;;-64,20;14,84;6,62;65,50;-12,67;-13,36;-67,70;-62,09;5,61;-1,23;8,58;16,11;-22,93;2,36;-23,11;-10,30;-21,94;0,45;0,37;0,77;2,65;;;3,44;-0,79;;1.253.467.800,00
AHAC;10,96;;-15,33;28,18;1,40;;;;-15,37;-15,32;0,04;-0,08;;579,80;-1,41;2,10;-183,82;-9,14;-183,38;0,05;0,17;0,00;;;;0,39;-0,71;;140.890.800,00
AHACU;12,07;;-16,88;31,03;1,54;;;;-16,92;-15,32;0,04;-0,08;;638,52;-1,55;2,10;-183,82;-9,14;-183,38;0,05;0,17;0,00;;;;0,39;-0,71;;140.890.800,00
AHACW;2,79;;-3,90;7,17;0,36;;;;-3,91;-15,32;0,04;-0,08;;147,59;-0,36;2,10;-183,82;-9,14;-183,38;0,05;0,17;0,00;;;;0,39;-0,71;;140.890.800,00
AHC;7,56;2,12;-20,19;3,75;1,37;42,07;-5,04;-5,32;-21,31;-16,29;5,02;-0,88;1,07;3,03;-4,90;2,69;-18,58;-6,79;-18,58;0,37;0,63;1,28;-10,73;;;2,02;-0,37;;161.862.797,88
AHCO;23,78;;-18,82;1,74;0,69;17,09;-11,54;-12,15;-19,82;-30,35;-10,53;0,93;2,29;-323,00;-0,78;0,98;-9,25;-3,66;-4,81;0,40;0,60;0,30;;;;13,66;-1,26;;3.113.056.446,00
AHPI;7,65;;-76,00;3,40;1,70;19,32;-1,16;-1,07;-70,26;-78,41;-8,15;0,39;0,81;6,59;-6,81;1,52;-4,48;-2,24;-4,41;0,50;0,50;2,09;-2,10;;;2,25;-0,10;;30.703.275,00
AI;50,02;;-55,81;4,99;4,37;75,89;-47,32;-47,81;-56,40;-44,50;11,90;-1,05;26,69;5,07;-215,59;8,33;-8,94;-7,83;-8,94;0,88;0,12;0,16;;;;10,03;-0,90;;5.207.507.170,00
AIG;54,44;2,35;11,12;0,70;0,08;40,05;13,55;9,30;7,63;8,98;1,35;0,12;1,03;;-0,08;;6,34;0,70;6,26;0,11;0,89;0,08;-5,60;;;77,27;4,90;;46.557.218.656,00
AIH;4,01;;-3,67;1,49;0,63;61,80;-11,35;-17,18;-5,56;-6,15;-0,59;0,16;0,63;-4,63;-0,74;0,53;-40,49;-17,11;-22,69;0,42;0,58;1,00;;;;2,70;-1,09;;94.627.579,00
AIHS;0,61;;-2,31;18,01;1,49;-32,97;-248,02;-213,13;-1,99;-2,55;-0,56;5,09;4,92;-2,80;-2,81;0,47;-779,38;-64,30;-110,15;0,08;0,92;0,30;;;;0,03;-0,26;;33.800.039,00
AIKI;0,77;;-9,86;0,67;0,66;;;;-9,86;4,05;13,91;-0,95;;0,68;-33,41;97,02;-6,80;-6,73;-6,80;0,99;0,01;0,00;;;;1,15;-0,08;;69.054.447,00
AIMC;56,13;0,43;24,35;1,77;0,86;36,38;13,87;8,07;14,17;18,45;4,28;0,53;1,97;7,78;-1,08;2,29;7,27;3,55;6,37;0,49;0,51;0,44;18,25;;;31,71;2,30;;3.640.990.323,00
AIN;77,06;1,04;21,49;2,89;1,63;41,18;18,68;12,96;14,91;15,49;0,58;0,11;2,79;4,60;-3,08;4,09;13,43;7,61;10,69;0,57;0,43;0,59;4,87;11,47;;26,69;3,59;;2.495.256.742,00
AINV;13,67;10,53;6,31;0,85;0,34;100,00;109,56;82,08;4,73;12,42;7,69;1,39;5,18;;-0,34;;13,52;5,45;7,43;0,40;0,60;0,07;-15,74;;;16,03;2,17;;889.495.964,00
AIR;32,10;;31,81;1,17;0,74;16,70;5,37;2,17;12,84;13,67;0,83;0,08;0,69;1,90;-1,89;2,78;3,67;2,33;6,36;0,63;0,37;1,07;1,61;-5,58;;27,47;1,01;;1.138.766.760,00
AIRG;13,65;;-37,05;2,77;1,93;43,07;-9,71;-6,14;-23,42;-19,97;3,45;-0,41;2,27;7,16;-4,18;2,01;-7,49;-5,22;-16,20;0,70;0,30;0,85;11,78;;;4,92;-0,37;;137.563.335,00
AIRT;38,78;;-18,18;8,14;0,77;20,26;-3,31;-3,51;-19,27;-32,82;-13,56;5,73;0,64;1,41;-3,13;3,62;-44,75;-4,24;-8,31;0,09;0,86;1,21;3,39;;;4,77;-2,13;;111.760.082,00
AIRTP;25,12;7,96;-11,78;5,27;0,50;20,26;-3,31;-3,51;-12,48;-32,82;-13,56;5,73;0,41;0,91;-2,03;3,62;-44,75;-4,24;-8,31;0,09;0,86;1,21;3,39;;;4,77;-2,13;;111.760.082,00
AIRTW;0,01;;0,00;0,00;0,00;20,26;-3,31;-3,51;-0,01;-32,82;-13,56;5,73;0,00;0,00;0,00;3,62;-44,75;-4,24;-8,31;0,09;0,86;1,21;3,39;;;4,77;-2,13;;111.760.082,00
AIT;86,01;1,52;0,74;3,55;1,46;1,24;20,59;10,88;0,39;0,46;0,07;0,61;0,08;4,31;-3,08;2,80;480,12;197,08;436,92;0,41;0,59;18,11;-49,04;-63,37;;24,21;116,25;;3.312.700.953,00
AIZ;167,93;1,57;21,19;1,67;0,21;46,52;7,16;4,64;13,75;14,39;0,64;0,08;0,98;;-0,21;;7,89;1,01;5,95;0,13;0,87;0,22;-0,45;25,55;;100,46;7,92;;9.876.567.848,00
AIZN;27,36;;3,45;0,27;0,04;46,52;7,16;4,64;2,24;14,39;0,64;0,08;0,16;;-0,04;;7,89;1,01;5,95;0,13;0,87;0,22;-0,45;25,55;;100,46;7,92;;9.876.567.848,00
AIZP;127,52;;16,09;1,27;0,16;46,52;7,16;4,64;10,44;14,39;0,64;0,08;0,75;;-0,16;;7,89;1,01;5,95;0,13;0,87;0,22;-0,45;25,55;;100,46;7,92;;9.876.567.848,00
AJG;144,08;1,31;33,43;3,58;1,07;84,41;15,61;11,65;24,94;32,69;7,75;1,11;3,89;;-1,07;;10,72;3,20;4,83;0,30;0,70;0,28;5,37;18,07;;40,21;4,31;;29.788.540.000,00
AJRD;42,38;;26,14;10,03;1,43;17,87;9,04;6,09;17,61;17,10;-0,52;-0,29;1,59;11,22;-2,84;1,35;38,40;5,47;18,78;0,14;0,86;0,90;3,94;;;4,22;1,62;;3.402.834.292,00
AKAM;111,93;;31,20;4,07;2,30;63,60;21,62;17,52;25,27;26,00;0,73;0,12;5,47;11,35;-3,22;3,48;13,05;7,38;10,57;0,57;0,43;0,42;7,79;11,63;;27,49;3,59;;18.225.539.514,00
AKBA;2,88;;-1,68;2,88;0,82;18,58;-130,60;-135,00;-1,73;-1,22;0,51;-0,85;2,27;3,04;-1,79;2,00;-171,55;-48,96;-105,97;0,29;0,71;0,36;;;;1,00;-1,72;;502.668.000,00
AKER;2,47;;0,00;0,63;0,59;-51,93;-823.564,09;-1.971.672,38;-0,01;0,00;0,01;-1,02;60,45;0,63;;16,28;-20.641,01;-19.372,62;-8.621,71;0,94;0,06;0,01;;;;3,90;-805,59;;21.883.873,96
AKO-A;12,05;5,24;0,05;1,52;0,56;38,31;9,34;3,98;0,02;0,02;-0,01;-0,48;0,00;2,89;-0,82;2,55;2.838,82;1.040,25;4.937,11;0,37;0,63;261,15;;-73,47;;7,90;224,33;;2.066.679.580,00
AKO-B;13,10;5,31;0,06;1,66;0,61;38,31;9,34;3,98;0,02;0,02;-0,01;-0,48;0,00;3,14;-0,89;2,55;2.838,82;1.040,25;4.937,11;0,37;0,63;261,15;;-73,47;;7,90;224,33;;2.066.679.580,00
