TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BARI11;100,51;1,300000;13,77;102,35;0,98;1.177.921,91;5,05;;;474.303.437,32;33.334,00;Ativa;4.634.191,00
TFOF11;138,00;2,370000;0,00;121,20;1,14;;13,36;29,98;2,02;103.080.374,68;3.278,00;Ativa;850.530,00
NVHO11;11,00;0,081168;8,34;12,71;0,87;1.966,09;1,17;6,11;-29,36;527.336.692,75;2.355,00;Ativa;41.494.533,00
FINF11;0,00;0,272017;0,00;51,93;;;1,99;19,35;;42.588.933,72;4,00;Ativa;820.112,00
GALG11;94,64;0,820000;10,59;102,22;0,93;800.156,09;0,49;;;587.610.518,53;8.014,00;Ativa;5.748.530,00
GSFI11;4,45;;0,00;13,27;0,34;102.929,38;4,53;;5,50;997.576.881,64;7.753,00;Ativa;75.198.136,00
HCHG11;80,80;0,875000;8,66;102,99;0,78;79.760,21;1,36;;;123.582.976,52;398,00;Ativa;1.200.000,00
IRDM11;102,69;1,260962;13,76;96,04;1,07;8.080.625,29;5,68;10,34;-0,69;3.173.724.235,39;242.729,00;Ativa;33.044.580,00
ESTQ11;0,00;;0,00;0,12;;;39,16;;;8.014.281,13;5,00;Ativa;65.361.974,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
HGCR11;105,30;1,100000;11,38;102,52;1,03;2.769.050,53;16,88;14,22;-2,34;1.503.647.868,25;62.333,00;Ativa;14.666.944,00
FATN11;98,79;0,800000;8,88;100,72;0,98;5.130,35;5,15;;;99.158.182,73;394,00;Ativa;984.500,00
BMLC11;93,00;0,740000;8,29;109,25;0,85;37.599,13;3,03;15,98;5,19;109.078.304,40;1.453,00;Ativa;998.405,00
BTSI11;0,00;;0,00;96,67;;;0,25;;;89.217.283,92;86,00;Ativa;922.936,00
BICR11;98,00;1,100000;6,71;99,31;0,99;1.362,12;28,00;;;49.653.430,26;543,00;Ativa;500.000,00
BTWR11;105,49;0,430000;3,31;108,64;0,97;20.200,88;2,91;;;87.919.468,91;63,00;Passiva;809.269,00
RNGO11;48,02;0,390000;8,91;87,62;0,55;129.980,47;1,95;-9,48;-16,74;234.484.264,06;13.706,00;Passiva;2.676.000,00
VVPR11;94,59;0,768350;9,42;103,44;0,91;674.892,41;0,89;;;238.505.340,07;1.447,00;Ativa;2.305.771,00
TCPF11;1,26;0,240000;1.408,73;152,51;0,01;;4,49;;;45.345.151,77;52,00;Ativa;297.327,00
FVPQ11;113,41;0,700000;6,22;198,31;0,57;56.670,41;2,19;-16,93;-14,80;555.304.531,49;4.386,00;Passiva;2.800.149,00
PABY11;7,45;;0,00;-12,59;;731,00;;;-31,32;-9.546.407,61;456,00;Passiva;758.400,00
VIFI11;6,98;0,060000;10,95;25,96;0,27;110.953,44;6,27;;;72.998.190,19;5.659,00;Ativa;2.812.340,00
BLCA11;99,00;0,505000;2,60;93,65;1,06;974,60;5,87;;;149.838.499,60;100,00;Ativa;1.600.000,00
VGHF11;9,86;0,130000;16,94;9,40;1,05;4.033.685,44;3,10;;;611.933.986,63;75.292,00;Ativa;65.073.729,00
XBXO11;0,00;;0,00;96,72;;;0,01;;;294.286.891,28;1,00;Ativa;3.042.600,00
RECX11;79,79;0,699814;13,59;86,32;0,92;11.029,00;0,93;;;18.845.176,29;522,00;Ativa;218.313,00
MCHF11;9,69;0,110000;11,15;9,76;0,99;1.226.851,94;18,24;;;315.247.727,86;13.354,00;Ativa;32.307.646,00
BTRA11;102,05;0,940000;6,61;103,31;0,99;753.141,97;9,33;;;347.607.162,19;14.012,00;Ativa;3.364.559,00
FPNG11;89,00;0,580000;7,82;168,93;0,53;507,00;2,25;6,57;;172.701.467,17;64,00;Ativa;1.022.344,00
MGIM11;101,50;0,176173;13,69;98,41;1,03;5.538,90;101,04;;;24.337.124,08;75,00;Ativa;247.300,00
XPCI11;94,46;1,180000;12,92;97,34;0,97;3.626.179,94;18,39;;;670.459.654,98;57.767,00;Ativa;6.887.865,00
LRDI11;0,00;;0,00;99,62;;;6,61;;;23.099.599,85;14,00;Ativa;231.879,00
RBED11;120,01;1,140000;10,72;141,73;0,85;323.057,65;3,35;2,79;-13,43;286.515.149,11;12.396,00;Ativa;2.021.621,00
TGAR11;114,06;1,440000;12,54;128,00;0,89;3.434.164,41;2,52;10,56;-3,34;1.447.639.821,69;82.263,00;Ativa;11.309.571,00
CXCI11;80,42;0,700000;1,24;97,68;0,82;88.181,38;49,11;;;200.991.074,86;6.069,00;Ativa;2.057.726,00
GTWR11;73,31;0,740000;11,44;98,59;0,74;652.002,21;0,64;1,16;;1.183.075.215,12;25.091,00;Ativa;12.000.000,00
VILG11;98,20;0,700000;7,97;113,61;0,86;2.053.146,53;0,99;-1,41;-3,83;1.703.867.484,52;146.801,00;Ativa;14.997.396,00
TRXB11;118,97;0,850000;8,39;97,36;1,22;1.573.565,80;10,57;;;243.535.217,51;180,00;Passiva;2.501.419,00
BPML11;69,52;0,200000;5,36;134,11;0,52;42.241,15;2,97;;;577.344.089,09;1.437,00;Passiva;4.305.079,00
KFOF11;75,81;0,680000;9,85;95,49;0,79;560.783,79;1,41;4,96;-10,85;432.879.310,92;8.181,00;Ativa;4.533.315,00
MOFF11;0,00;;0,00;860,30;;;1,07;;;173.431.365,21;3,00;Ativa;201.595,00
HREC11;95,94;1,000000;11,28;92,68;1,04;256.495,06;6,71;;;431.584.626,89;403,00;Ativa;4.656.688,00
HUCG11;103,00;;0,00;101,68;1,01;20.203,63;92,21;;;114.081.820,30;115,00;Passiva;1.122.000,00
KNRE11;0,90;0,040437;7,81;1,24;0,73;6.818,71;21,96;;-53,06;23.077.866,89;6.024,00;Ativa;18.547.161,00
