TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PINE;15,33;7,18;71,57;0,83;0,37;100,00;29,43;6,39;5,29;35,28;19,74;1,06;4,57;;-0,37;;1,16;0,52;2,54;0,44;0,56;0,08;31,25;-6,19;;18,41;0,21;;208.765.473,00
PK;17,68;7,81;38,37;0,98;0,40;64,79;14,68;3,60;5,38;18,84;9,44;0,98;1,38;20,34;-0,44;1,25;2,54;1,03;4,31;0,40;0,60;0,29;-0,29;-27,13;;18,12;0,46;;3.722.283.552,00
PLD;128,77;2,77;39,01;2,24;1,28;79,75;51,17;38,06;17,87;35,94;6,93;0,54;14,84;;-1,28;;5,74;3,28;4,74;0,57;0,43;0,09;23,40;13,23;;57,50;3,30;;119.096.926.370,00
PLYM;22,09;4,07;92,87;2,08;0,70;68,71;26,06;5,40;6,92;35,52;16,27;1,75;5,02;;-0,70;;2,23;0,75;3,84;0,33;0,67;0,14;32,35;;;10,64;0,24;;1.002.490.589,00
PMT;14,52;11,02;7,97;0,64;0,10;85,37;498,62;80,28;1,26;-0,43;-1,72;-0,86;6,40;;-0,10;;8,06;1,20;16,95;0,15;0,85;0,01;9,71;5,50;;22,59;1,82;;1.258.105.728,00
PSA;279,60;4,29;25,21;4,91;2,48;74,59;52,51;43,14;14,70;24,39;3,68;0,87;10,87;;-2,48;;19,46;9,84;12,35;0,51;0,49;0,23;10,40;7,61;;56,99;11,09;;49.123.315.440,00
PSB;187,44;;11,84;2,91;2,39;70,28;137,87;98,58;7,34;8,33;-0,14;-0,05;11,68;;-2,39;;24,56;20,18;33,97;0,82;0,18;0,20;2,55;48,15;;64,43;15,82;;5.178.479.856,00
PSTL;14,06;6,77;85,44;1,30;0,56;75,87;21,96;5,82;10,18;39,64;16,99;0,98;4,97;;-0,56;;1,52;0,65;2,88;0,43;0,57;0,11;52,66;26,70;;10,81;0,16;;316.898.340,00
PW;0,64;;-0,07;0,09;0,03;51,10;-673,30;-732,57;-0,09;-1,38;-1,30;1,51;0,54;;-0,03;;-126,31;-39,65;-43,60;0,31;0,56;0,05;33,86;;;6,85;-8,65;;2.169.408,00
QTS;77,95;;1.850,29;2,85;1,39;66,15;7,08;0,55;23,05;183,57;38,62;0,76;10,27;;-1,39;;0,15;0,07;1,09;0,49;0,51;0,14;11,64;-4,79;;27,33;0,04;;6.009.726.740,00
RC;9,09;16,06;4,73;0,62;0,13;;;;1,37;5,11;3,65;1,54;;;-0,13;;13,05;2,66;16,03;0,20;0,80;0,00;;42,52;;14,72;1,92;;1.568.520.405,00
RCA;24,96;3,51;12,99;1,70;0,35;;;;3,77;5,11;3,65;1,54;;;-0,35;;13,05;2,66;16,03;0,20;0,80;0,00;;42,52;;14,72;1,92;;1.568.520.405,00
RCB;24,12;4,82;12,56;1,64;0,33;;;;3,65;5,11;3,65;1,54;;;-0,33;;13,05;2,66;16,03;0,20;0,80;0,00;;42,52;;14,72;1,92;;1.568.520.405,00
RCP;25,23;;13,13;1,71;0,35;;;;3,81;5,11;3,65;1,54;;;-0,35;;13,05;2,66;16,03;0,20;0,80;0,00;;42,52;;14,72;1,92;;1.568.520.405,00
REG;59,38;4,45;30,49;1,56;0,88;70,15;35,89;27,18;13,60;31,82;8,72;0,59;8,29;;-0,88;;5,11;2,89;4,21;0,57;0,43;0,11;3,36;7,91;;38,10;1,95;;10.960.277.268,00
REXR;50,94;2,98;48,17;1,41;1,00;76,71;36,86;28,72;21,42;45,72;8,19;0,31;13,83;;-1,00;;2,93;2,08;2,86;0,71;0,29;0,07;30,27;38,80;;36,11;1,06;;10.956.496.122,00
RHP;117,13;3,29;22,47;12,29;1,35;46,29;21,29;14,42;10,26;21,05;5,83;4,70;3,24;-2,36;-1,71;0,27;54,68;6,00;9,27;0,11;0,89;0,42;11,10;2,12;;9,53;5,21;;6.994.031.421,00
RITM;11,13;8,98;9,69;0,77;0,15;100,00;134,75;34,40;2,62;9,09;6,62;2,05;3,33;;-0,15;;7,92;1,57;6,27;0,20;0,80;0,05;25,00;-8,59;;14,50;1,15;;5.378.307.606,00
RLJ;11,85;3,04;35,99;0,79;0,38;62,72;13,33;3,87;4,72;19,87;9,43;0,71;1,39;;-0,38;;2,19;1,04;3,85;0,48;0,52;0,27;-5,52;-16,54;;15,00;0,33;;1.846.042.770,00
ROIC;12,49;4,80;45,93;1,23;0,53;100,00;33,52;10,54;7,23;26,91;12,47;1,06;4,84;-1,07;-0,56;0,08;2,68;1,16;4,12;0,43;0,57;0,11;2,07;-4,17;;10,14;0,27;;1.586.289.952,00
RPAI;13,15;;143,60;1,79;0,78;83,92;21,52;4,32;9,95;45,98;17,14;1,06;6,21;;-0,78;;1,25;0,54;2,95;0,44;0,56;0,13;-6,57;-33,92;;7,35;0,09;;2.824.592.385,00
RPT;12,97;3,24;21,65;1,22;0,59;73,70;42,98;24,77;6,91;17,24;4,76;0,47;5,36;;-0,59;;5,63;2,72;5,08;0,48;0,52;0,11;-3,87;4,01;;10,64;0,60;;1.124.554.771,00
RWT;6,32;10,13;-115,37;0,69;0,06;;;;1,25;5,05;3,73;1,96;;;-0,06;;-0,60;-0,05;14,06;0,08;0,92;0,00;;;;9,14;-0,05;;831.566.640,00
RYN;33,16;4,04;28,41;2,65;1,35;27,85;21,95;16,41;12,63;26,24;4,99;0,62;4,66;27,90;-1,48;2,26;9,32;4,76;7,03;0,51;0,49;0,29;5,31;11,16;;12,52;1,17;;4.928.895.768,00
SAFE;20,59;3,44;-30,80;0,66;0,22;100,00;116,59;-43,23;9,91;40,27;28,85;1,66;13,31;;-0,22;;-2,13;-0,73;2,02;0,34;0,66;0,02;17,20;;;31,39;-0,67;;1.463.471.312,00
SBAC;215,48;1,64;46,42;-4,51;2,29;77,41;36,32;18,51;13,53;35,92;12,26;;8,59;-26,50;-2,40;0,36;-9,70;4,93;13,05;-0,51;1,50;0,27;7,76;60,27;;-47,83;4,64;;23.295.262.676,00
SBRA;14,32;8,38;240,97;1,18;0,62;100,00;21,74;2,25;10,48;42,67;17,78;0,84;5,41;;-0,62;;0,49;0,26;2,51;0,52;0,48;0,11;0,19;-45,23;;12,11;0,06;;3.314.747.776,00
